id,month,num,item_id,item_count,diamond_count,vip_level,vip_item_id,vip_item_count,vip_damond_count
1,0,1,650002,4,0,1,650002,4,0
2,0,2,0,0,20,0,0,0,0
3,0,3,710003,1,0,2,710003,1,0
4,0,4,801001,1,0,0,0,0,0
5,0,5,800001,1,0,3,800001,1,0
6,0,6,650002,6,0,4,650002,6,0
7,0,7,0,0,40,0,0,0,0
8,0,8,710003,2,0,5,710003,2,0
9,0,9,801001,1,0,0,801001,1,0
10,0,10,800001,3,0,6,800001,3,0
11,0,11,650003,2,0,7,650003,2,0
12,0,12,0,0,60,0,0,0,0
13,0,13,710003,3,0,8,710003,3,0
14,0,14,801001,2,0,0,0,0,0
15,0,15,800001,4,0,9,800001,4,0
16,0,16,650004,1,0,10,650004,1,0
17,0,17,0,0,80,0,0,0,0
18,0,18,710003,4,0,11,710003,4,0
19,0,19,801001,2,0,0,0,0,0
20,0,20,800001,5,0,12,800001,5,0
21,0,21,650004,1,0,13,650004,1,0
22,0,22,0,0,100,0,0,0,0
23,0,23,710003,5,0,14,710003,5,0
24,0,24,801001,3,0,0,0,0,0
25,0,25,800001,7,0,15,800001,7,0
26,0,26,650004,1,0,15,650004,1,0
27,0,27,0,0,120,0,0,0,0
28,0,28,710003,6,0,15,710003,6,0
29,0,29,801001,3,0,0,801001,3,0
30,0,30,800001,9,0,15,800001,9,0
31,0,31,650004,1,0,15,650004,1,0
12001,12,1,650002,4,0,1,650002,4,0
12002,12,2,0,0,20,0,0,0,0
12003,12,3,710003,1,0,2,710003,1,0
12004,12,4,801001,1,0,0,0,0,0
12005,12,5,800009,1,0,3,800009,1,0
12006,12,6,650002,6,0,4,650002,6,0
12007,12,7,0,0,40,0,0,0,0
12008,12,8,710003,2,0,5,710003,2,0
12009,12,9,801001,1,0,0,801001,1,0
12010,12,10,800009,3,0,6,800009,3,0
12011,12,11,650003,2,0,7,650003,2,0
12012,12,12,0,0,60,0,0,0,0
12013,12,13,710003,3,0,8,710003,3,0
12014,12,14,801001,2,0,0,0,0,0
12015,12,15,800009,4,0,9,800009,4,0
12016,12,16,650004,1,0,10,650004,1,0
12017,12,17,0,0,80,0,0,0,0
12018,12,18,710003,4,0,11,710003,4,0
12019,12,19,801001,2,0,0,0,0,0
12020,12,20,800009,5,0,12,800009,5,0
12021,12,21,650004,1,0,13,650004,1,0
12022,12,22,0,0,100,0,0,0,0
12023,12,23,710003,5,0,14,710003,5,0
12024,12,24,801001,3,0,0,0,0,0
12025,12,25,800009,7,0,15,800009,7,0
12026,12,26,650004,1,0,15,650004,1,0
12027,12,27,0,0,120,0,0,0,0
12028,12,28,710003,6,0,15,710003,6,0
12029,12,29,801001,3,0,0,801001,3,0
12030,12,30,800009,9,0,15,800009,9,0
12031,12,31,650004,1,0,15,650004,1,0
